time_s,gps_available,ekf_x,ekf_y,ekf_vx,ekf_vy,ekf_yaw,accel_bias_x,accel_bias_y,gyro_bias_z,reference_x,reference_y,position_error,position_error_x,position_error_y
4882.099,True,-4633.144392494133,529.2747919323723,8.436598105865306,1.6531971579228437,-0.43954737880851436,-0.24852505765101415,-0.31404439145248164,0.0,-4636.902287233233,531.0934907083417,4.174857854810171,3.7578947391002657,-1.8186987759694375
4882.1990000000005,True,-4632.749168954348,529.2919193345296,8.237475109912857,1.6631463869498349,-0.4426573788085257,-0.23407977906515262,-0.312068510942729,0.0,-4636.487849141163,531.1933442919616,4.194418482701686,3.738680186815145,-1.9014249574320274
4882.299,True,-4632.214134689018,529.7451298179055,8.100709440299683,1.7729509115574569,-0.44179737880853037,-0.2244190639016821,-0.3156661077719139,0.0,-4636.127338260682,531.271490573832,4.200349908105566,3.9132035716647806,-1.5263607559264756
4882.399,True,-4631.828993770306,529.9916579538892,7.9232050221897055,1.838769888902993,-0.4442573788085393,-0.2126134306278908,-0.3180114490390439,0.0,-4635.767370727423,531.4045173660863,4.184134889674312,3.9383769571177254,-1.4128594121971219
4882.499000000001,True,-4631.5263323626195,530.343792402637,7.765131025738004,1.876629959461852,-0.4449673788085419,-0.19832480833590407,-0.3191206108490614,0.0,-4635.454470647081,531.494018235375,4.093078285123155,3.928138284461056,-1.1502258327381014
4882.599,True,-4631.013275901673,530.5530839518143,7.658564266816641,1.8941655367730497,-0.44656737880853314,-0.1895480215873981,-0.31986631593442094,0.0,-4635.142045995544,531.5830738290275,4.255305116581588,4.128770093871026,-1.029989877213211
4882.6990000000005,True,-4630.791452331838,530.6818194029189,7.450197860452846,1.896792805710971,-0.4474273788085363,-0.17533152391336895,-0.31710002048526853,0.0,-4634.849793109575,531.650088162486,4.172250502906255,4.058340777737612,-0.9682687595670814
4882.799,True,-4630.496282247686,530.8636414407208,7.299759848405725,1.936971936775512,-0.4476773788085349,-0.16408703955425036,-0.3161009681915878,0.0,-4634.5846396662155,531.7058592272303,4.174206173819739,4.088357418529085,-0.8422177865095364
4882.900000000001,True,-4630.067375564944,530.8957976343602,7.199469744252429,1.8973245256917965,-0.44638457880852767,-0.15515269277914143,-0.3109542770166572,0.0,-4634.357860120239,531.7843394683588,4.381525340562237,4.2904845552948245,-0.8885418339986018
4883.0,True,-4629.784475861839,531.1679440041545,7.02244259479262,1.9341350240189863,-0.4462045788085286,-0.14263790888171793,-0.31052965789117304,0.0,-4634.147313072489,531.828867265197,4.412614653877618,4.362837210649559,-0.6609232610425124
