time_s,gps_x,gps_y,dr_x,dr_y,gps_available,estimated_heading_deg,speed_mps,position_error_m
19.8,-18.82018933377905,-7.937079694561075,-18.82018933377905,-7.937079694561075,True,63.917250000012075,0.0,0.0
19.9,-18.82018933377905,-7.91481579535127,-18.82018933377905,-7.91481579535127,True,64.35725000001207,0.0,0.0
19.999,-18.813465411932835,-7.903795166037344,-18.813465411932835,-7.903795166037344,True,62.34725000001208,0.0,0.0
20.1,-18.81339749352471,-7.881419948513993,-18.81339749352471,-7.881419948513993,True,64.33725000001208,0.0,0.0
20.199,-18.81339749352471,-7.859378689095169,-18.81339749352471,-7.859378689095169,True,61.86725000001208,0.0,0.0
20.299,-18.8066735716785,-7.848135419990262,-18.8066735716785,-7.848135419990262,True,62.29725000001208,0.0,0.0
20.399,-18.806605653270374,-7.825982841466919,-18.806605653270374,-7.825982841466919,True,62.04725000001208,0.0,0.0
20.499,-18.806605653270374,-7.814739573152986,-18.806605653270374,-7.814739573152986,True,63.907250000012084,0.0,0.0
20.6,-18.799813813016033,-7.792364355629636,-18.799813813016033,-7.792364355629636,True,64.03725000001208,0.0,0.0
20.7,-18.799813813016033,-7.7812324064202185,-18.799813813016033,-7.7812324064202185,True,64.12725000001208,0.0,0.0
20.8,-18.793021972776778,-7.758968508792359,-18.793021972776778,-7.758968508792359,True,63.96725000001208,0.0,0.0
20.9,-18.793021972776778,-7.74783655879197,-18.793021972776778,-7.74783655879197,True,62.09725000001208,0.0,0.0
21.0,-18.793021972776778,-7.725572661164109,-18.793021972776778,-7.725572661164109,True,61.98725000001208,0.0,0.0
21.099,-18.78629805093056,-7.71455203105921,-18.78629805093056,-7.71455203105921,True,64.11725000001208,0.0,0.0
21.2,-18.786230132522437,-7.6921768143268325,-18.786230132522437,-7.6921768143268325,True,63.89725000001208,0.0,0.0
21.299,-18.779506210691302,-7.681156184221933,-18.779506210691302,-7.681156184221933,True,61.86725000001208,0.0,0.0
21.399,-18.77943829228318,-7.659003605698591,-18.77943829228318,-7.659003605698591,True,61.82725000001208,0.0,0.0
21.5,-18.77943829228318,-7.647649017489167,-18.77943829228318,-7.647649017489167,True,61.807250000012075,0.0,0.0
21.599,-18.77271437042188,-7.625607758070343,-18.77271437042188,-7.625607758070343,True,61.67725000001208,0.0,0.0
21.699,-18.77264645201376,-7.614364489756408,-18.77264645201376,-7.614364489756408,True,61.72725000001208,0.0,0.0
21.8,-18.77264645201376,-7.591989272233058,-18.77264645201376,-7.591989272233058,True,61.62725000001208,0.0,0.0
21.899,-18.765922530182625,-7.580968642128159,-18.765922530182625,-7.580968642128159,True,63.697250000012076,0.0,0.0
22.0,-18.765854611774504,-7.558593424604808,-18.765854611774504,-7.558593424604808,True,63.60725000001208,0.0,0.0
22.1,-18.75906277152016,-7.547461476186364,-18.75906277152016,-7.547461476186364,True,63.28725000001208,0.0,0.0
22.2,-18.75906277152016,-7.525197577767531,-18.75906277152016,-7.525197577767531,True,61.48725000001208,0.0,0.0
22.299,-18.75906277152016,-7.514176947662633,-18.75906277152016,-7.514176947662633,True,61.56725000001208,0.0,0.0
