time_s,reference_x,reference_y,dr_x,dr_y,position_error_m,estimated_heading_deg,estimated_speed_mps,outage
4300.599,-4513.014842207069,114.44756848447541,,,,,,False
4300.6990000000005,-4513.014842207069,114.43654785437052,,,,,,False
4300.8,-4513.00805036683,114.436436535266,,,,,,False
4300.900000000001,-4513.00805036683,114.436436535266,,,,,,False
4301.001,-4513.00805036683,114.436436535266,,,,,,False
4301.1,-4513.00805036683,114.436436535266,,,,,,False
4301.1990000000005,-4513.00805036683,114.436436535266,,,,,,False
4301.299,-4513.00805036683,114.436436535266,,,,,,False
4301.399,-4513.00805036683,114.436436535266,,,,,,False
4301.5,-4513.001258526575,114.436436535266,,,,,,False
4301.599,-4513.001258526575,114.436436535266,,,,,,False
4301.6990000000005,-4513.001258526575,114.436436535266,,,,,,False
4301.799,-4513.001258526575,114.436436535266,,,,,,False
4301.900000000001,-4513.001258526575,114.436436535266,,,,,,False
4302.0,-4513.001258526575,114.436436535266,,,,,,False
4302.099,-4512.994534604744,114.436436535266,,,,,,False
4302.200000000001,-4512.994466686337,114.436436535266,,,,,,False
4302.299,-4512.994466686337,114.436436535266,,,,,,False
4302.399,-4512.994466686337,114.436436535266,,,,,,False
4302.499000000001,-4512.994466686337,114.436436535266,,,,,,False
4302.599,-4512.994466686337,114.436436535266,,,,,,False
4302.700000000001,-4512.9876748460665,114.436436535266,,,,,,False
4302.799,-4512.9876748460665,114.44745716537088,,,,,,False
4302.899,-4512.9876748460665,114.44756848447541,,,,,,False
4303.001,-4512.987606927659,114.44756848447541,,,,,,False
4303.1,-4512.980883005813,114.44756848447541,,,,,,False
4303.1990000000005,-4512.980883005813,114.43654785437052,,,,,,False
4303.299,-4512.980883005813,114.44745716537088,,,,,,False
4303.399,-4512.980883005813,114.43654785437052,,,,,,False
4303.499000000001,-4512.980883005813,114.44745716537088,,,,,,False
4303.599,-4512.974159083996,114.43654785437052,,,,,,False
4303.700000000001,-4512.974091165588,114.436436535266,,,,,,False
4303.799,-4512.974091165588,114.436436535266,,,,,,False
4303.899,-4512.974091165588,114.436436535266,,,,,,False
4303.999000000001,-4512.974091165588,114.436436535266,,,,,,False
4304.099,-4512.9673672437275,114.436436535266,,,,,,False
4304.200000000001,-4512.967299325319,114.436436535266,,,,,,False
4304.299,-4512.967299325319,114.436436535266,,,,,,False
4304.400000000001,-4512.967299325319,114.436436535266,,,,,,False
4304.5,-4512.967299325319,114.436436535266,,,,,,False
4304.6,-4512.960507485064,114.436436535266,,,,,,False
4304.700000000001,-4512.960507485064,114.436436535266,,,,,,False
4304.799,-4512.960507485064,114.436436535266,,,,,,False
4304.899,-4512.960507485064,114.436436535266,,,,,,False
4304.999000000001,-4512.953783563233,114.436436535266,,,,,,False
4305.1,-4512.953715644825,114.436436535266,,,,,,False
4305.1990000000005,-4512.953715644825,114.436436535266,,,,,,False
4305.299,-4512.953715644825,114.436436535266,,,,,,False
4305.399,-4512.953715644825,114.436436535266,,,,,,False
4305.499000000001,-4512.946991722979,114.436436535266,,,,,,False
4305.6,-4512.946923804571,114.436436535266,,,,,,False
4305.6990000000005,-4512.946923804571,114.436436535266,,,,,,False
4305.8,-4512.946923804571,114.436436535266,,,,,,False
4305.899,-4512.946923804571,114.436436535266,,,,,,False
4306.0,-4512.940131964317,114.436436535266,,,,,,False
4306.1,-4512.940131964317,114.436436535266,,,,,,False
4306.200000000001,-4512.940131964317,114.436436535266,,,,,,False
4306.3,-4512.940131964317,114.436436535266,,,,,,False
4306.399,-4512.933408042485,114.436436535266,,,,,,False
4306.499000000001,-4512.9333401240765,114.436436535266,,,,,,False
4306.599,-4512.9333401240765,114.436436535266,,,,,,False
4306.6990000000005,-4512.9333401240765,114.436436535266,,,,,,False
4306.799,-4512.9333401240765,114.436436535266,,,,,,False
4306.899,-4512.92661620223,114.436436535266,,,,,,False
4306.999000000001,-4512.926548283823,114.436436535266,,,,,,False
4307.099,-4512.926548283823,114.436436535266,,,,,,False
4307.200000000001,-4512.919756443569,114.436436535266,,,,,,False
4307.3,-4512.919756443569,114.436436535266,,,,,,False
4307.400000000001,-4512.919756443569,114.436436535266,,,,,,False
4307.5,-4512.919756443569,114.436436535266,,,,,,False
4307.6,-4512.91296460333,114.436436535266,,,,,,False
4307.700000000001,-4512.91296460333,114.436436535266,,,,,,False
4307.8,-4512.91296460333,114.436436535266,,,,,,False
4307.900000000001,-4512.91296460333,114.436436535266,,,,,,False
4308.001,-4512.912896684921,114.436436535266,,,,,,False
4308.1,-4512.906172763074,114.436436535266,,,,,,False
4308.1990000000005,-4512.906172763074,114.436436535266,,,,,,False
4308.3,-4512.906172763074,114.436436535266,,,,,,False
4308.399,-4512.906172763074,114.436436535266,,,,,,False
4308.499000000001,-4512.906172763074,114.436436535266,,,,,,False
4308.599,-4512.899448841228,114.436436535266,,,,,,False
4308.6990000000005,-4512.8993809228205,114.436436535266,,,,,,False
4308.799,-4512.8993809228205,114.436436535266,,,,,,False
4308.899,-4512.8993809228205,114.436436535266,,,,,,False
4308.999000000001,-4512.89265700096,114.436436535266,,,,,,False
4309.1,-4512.892589082551,114.436436535266,,,,,,False
4309.200000000001,-4512.892589082551,114.436436535266,,,,,,False
4309.299,-4512.892589082551,114.436436535266,,,,,,False
4309.399,-4512.892589082551,114.436436535266,,,,,,False
4309.5,-4512.892589082551,114.436436535266,,,,,,False
4309.599,-4512.88586516072,114.436436535266,,,,,,False
4309.701,-4512.885797242311,114.436436535266,,,,,,False
4309.799,-4512.885797242311,114.436436535266,,,,,,False
4309.900000000001,-4512.879005402073,114.436436535266,,,,,,False
4309.999000000001,-4512.879005402073,114.436436535266,,,,,,False
4310.1,-4512.879005402073,114.436436535266,,,,,,False
4310.1990000000005,-4512.879005402073,114.436436535266,,,,,,False
4310.3,-4512.879005402073,114.44756848447541,,,,,,False
4310.400000000001,-4512.879005402073,114.44756848447541,,,,,,False
4310.5,-4512.872213561834,114.44756848447541,,,,,,False
4310.6,-4512.872213561834,114.44756848447541,,,,,,False
4310.700000000001,-4512.872213561834,114.436436535266,,,,,,False
4310.801,-4512.865353803156,114.43632521616148,,,,,,False
4310.899,-4512.858697799717,114.42541590595205,,,,,,False
4311.001,-4512.858561962902,114.40292936853322,,,,,,False
4311.099,-4512.851905959478,114.39202005832381,,,,,,False
4311.1990000000005,-4512.838390197363,114.35884684969557,,,,,,False
4311.299,-4512.831530438715,114.3254510028583,,,,,,False
4311.400000000001,-4512.817878839814,114.29172119712551,,,,,,False
4311.5,-4512.804295159321,114.24719340107882,,,,,,False
4311.599,-4512.790847315598,114.20311088224118,,,,,,False
4311.6990000000005,-4512.770539713258,114.13654182677566,,,,,,False
4311.799,-4512.750164192525,114.08077076162407,,,,,,False
4311.899,-4512.7297886717615,114.01409038705403,,,,,,False
4312.0,-4512.7092093958045,113.94663077637945,,,,,,False
4312.1,-4512.682042034802,113.86870713191352,,,,,,False
4312.1990000000005,-4512.655146347403,113.76952146571527,,,,,,False
4312.299,-4512.62125506457,113.6693339236215,,,,,,False
4312.400000000001,-4512.593748111557,113.55701255800474,,,,,,False
4312.499000000001,-4512.553404580463,113.43578563317863,,,,,,False
4312.6,-4512.512246028549,113.27871383014224,,,,,,False
4312.700000000001,-4512.464703146799,113.12286654358333,,,,,,False
4312.799,-4512.4041878501685,112.95755709991957,,,,,,False
4312.900000000001,-4512.356033702776,112.75551222441842,,,,,,False
4313.0,-4512.288115300277,112.55513714102186,,,,,,False
4313.099,-4512.2208760818,112.3237039191016,,,,,,False
4313.1990000000005,-4512.152957679302,112.08993298886776,,,,,,False
4313.299,-4512.078315354957,111.82310016990114,,,,,,False
4313.399,-4511.990157268497,111.55593339203907,,,,,,False
4313.499000000001,-4511.908587267082,111.26672535475812,,,,,,False
4313.599,-4511.827085184076,110.9772946784772,,,,,,False
4313.6990000000005,-4511.732135257391,110.6548021134635,,,,,,False
4313.801,-4511.642007537262,110.32551906013603,,,,,,False
4313.901000000001,-4511.553577777215,110.00246989722685,,,,,,False
4314.001,-4511.4517680918525,109.65726815658527,,,,,,False
4314.099,-4511.358584043629,109.30817023383908,,,,,,False
4314.200000000001,-4511.262547422444,108.93725369067403,,,,,,False
4314.3,-4511.147086138227,108.54763547229932,,,,,,False
4314.400000000001,-4511.038416694202,108.15801725471559,,,,,,False
4314.5,-4510.936539090463,107.75726708792243,,,,,,False
4314.6,-4510.821077806215,107.33425302271044,,,,,,False
4314.700000000001,-4510.705616521936,106.90010700828904,,,,,,False
4314.8,-4510.590155237687,106.45482904544919,,,,,,False
4314.899,-4510.462400722579,105.99196260319067,,,,,,False
4315.002,-4510.336276249131,105.49903989751304,,,,,,False
4315.099,-4510.21110263332,105.034726301359,,,,,,False
4315.1990000000005,-4510.068609824855,104.52299060136717,,,,,,False
4315.299,-4509.946152945158,103.98887968464297,,,,,,False
4315.399,-4509.810451976949,103.47658738833759,,,,,,False
4315.499000000001,-4509.66789125009,102.94247647161339,,,,,,False
4315.6,-4509.530628158629,102.39166763147057,,,,,,False
4315.6990000000005,-4509.389425799829,101.85165678164164,,,,,,False
4315.8,-4509.258954548606,101.30073662160332,,,,,,False
4315.901000000001,-4509.108175695074,100.74992778066951,,,,,,False
4315.999000000001,-4508.975055626132,100.22628089615469,,,,,,False
4316.099,-4508.8324948992895,99.68092671111656,,,,,,False
4316.1990000000005,-4508.696590175885,99.124440576869,,,,,,False
4316.3,-4508.5593950028315,98.56227714772578,,,,,,False
4316.400000000001,-4508.416766357566,98.01681164358313,,,,,,False
4316.499000000001,-4508.275563998765,97.46578016364931,,,,,,False
4316.599,-4508.126211431653,96.90918270950627,,,,,,False
4316.6990000000005,-4507.983514867994,96.3415646260493,,,,,,False
4316.799,-4507.840886222729,95.79587648211567,,,,,,False
4316.899,-4507.684809733801,95.2283697185542,,,,,,False
4317.0,-4507.540618965284,94.66609497030645,,,,,,False
4317.1,-4507.391198479764,94.10949751695438,,,,,,False
4317.1990000000005,-4507.236548277271,93.56948666633448,,,,,,False
4317.299,-4507.080335951512,93.01300053208693,,,,,,False
4317.399,-4506.930847547598,92.47844433657176,,,,,,False
4317.5,-4506.773141016981,91.92763549721988,,,,,,False
4317.6,-4506.616928691222,91.41556583912354,,,,,,False
4317.700000000001,-4506.467508205717,90.89236423339973,,,,,,False
4317.8,-4506.318087720212,90.39142652372182,,,,,,False
4317.900000000001,-4506.168667234691,89.90162076404431,,,,,,False
4318.0,-4506.019246749187,89.42294695436718,,,,,,False
4318.099,-4505.8780443903715,88.93803925189887,,,,,,False
4318.200000000001,-4505.73398945867,88.48786323105885,,,,,,False
4318.3,-4505.598152653674,88.04258526742804,,,,,,False
4318.400000000001,-4505.455524008408,87.59730730458818,,,,,,False
4318.5,-4505.3264790436515,87.19655713779503,,,,,,False
4318.599,-4505.198724528543,86.77777321437416,,,,,,False
4318.6990000000005,-4505.0696795637705,86.38782103710395,,,,,,False
4318.799,-4504.947358520875,85.98718219020628,,,,,,False
4318.900000000001,-4504.8238828651165,85.5935564706224,,,,,,False
4319.0,-4504.6880460601205,85.20393825303866,,,,,,False
4319.1,-4504.572584775857,84.82545198387336,,,,,,False
4319.200000000001,-4504.436747970845,84.43583376628963,,,,,,False
4319.3,-4504.321286686597,84.05734749791532,,,,,,False
4319.400000000001,-4504.1854498815865,83.67886122875002,,,,,,False
4319.501,-4504.048390545334,83.27421487985221,,,,,,False
4319.6,-4503.9273599520875,82.88849284437312,,,,,,False
4319.6990000000005,-4503.799605436964,82.50277080889404,,,,,,False
4319.799,-4503.66383655036,82.1131525913103,,,,,,False
4319.899,-4503.527999745349,81.71251374362166,,,,,,False
4320.001,-4503.40296196634,81.30397121182823,,,,,,False
4320.1,-4503.261759607539,80.92926980645404,,,,,,False
4320.201,-4503.131356274725,80.51360282745134,,,,,,False
4320.299,-4502.998236205843,80.14268628507729,,,,,,False
4320.401000000001,-4502.852890824478,79.73425507317934,,,,,,False
4320.5,-4502.718412387494,79.34853303690927,,,,,,False
4320.599,-4502.570486106846,78.94076974201137,,,,,,False
4320.700000000001,-4502.419571416499,78.52476880569512,,,,,,False
